RA[deg]	DEC[deg]	z_low	layer
186.4854	57.8745	0.04	8
158.9506	57.0706	0.04	8
144.6280	56.9905	0.04	8
206.0200	56.9905	0.04	8
168.6621	56.9106	0.04	8
138.3447	55.7182	0.04	8
129.1406	55.6392	0.04	8
222.0768	55.1663	0.04	8
149.6516	54.5390	0.04	8
123.4816	54.4608	0.04	8
216.5159	54.0708	0.04	8
189.0561	50.6178	0.04	8
160.5213	50.3910	0.04	8
188.1678	49.9386	0.04	8
157.0722	49.2629	0.04	8
140.5240	49.1133	0.04	8
122.5733	47.0347	0.04	8
172.7601	46.8138	0.04	8
173.5858	46.1531	0.04	8
179.0683	45.8604	0.04	8
211.9014	45.5683	0.04	8
223.9598	44.4778	0.04	8
137.0896	43.6829	0.04	8
221.3971	42.2476	0.04	8
143.5696	42.1761	0.04	8
236.5969	41.8193	0.04	8
156.8215	40.5410	0.04	8
233.4368	40.1170	0.04	8
195.6875	40.0464	0.04	8
216.0312	39.5531	0.04	8
121.6704	39.2015	0.04	8
132.6832	39.2015	0.04	8
215.8732	39.0611	0.04	8
180.2453	38.9207	0.04	8
131.9867	38.0111	0.04	8
194.5387	38.0111	0.04	8
175.9832	37.8715	0.04	8
150.3975	37.6623	0.04	8
133.6054	36.6891	0.04	8
190.6747	35.3756	0.04	8
148.7907	35.3067	0.04	8
219.5667	35.3067	0.04	8
170.4802	33.4544	0.04	8
139.0663	33.2495	0.04	8
170.7314	33.1130	0.04	8
201.5206	33.1130	0.04	8
121.4969	33.0448	0.04	8
141.4189	32.4318	0.04	8
205.8618	31.8882	0.04	8
134.7911	31.3458	0.04	8
206.6852	31.0075	0.04	8
186.0887	29.3894	0.04	8
186.3035	29.1878	0.04	8
177.8618	28.8522	0.04	8
142.9740	26.7138	0.04	8
217.1109	26.7138	0.04	8
120.6792	25.8495	0.04	8
167.4197	24.8551	0.04	8
159.7000	24.6566	0.04	8
137.6154	24.5244	0.04	8
181.4483	24.2600	0.04	8
129.1852	23.8638	0.04	8
129.0573	23.7978	0.04	8
156.5105	21.4306	0.04	8
228.8694	20.8411	0.04	8
157.2794	20.0565	0.04	8
123.0984	19.9912	0.04	8
173.0728	19.8606	0.04	8
178.6650	19.2082	0.04	8
235.7838	19.0127	0.04	8
235.8978	18.8824	0.04	8
223.8023	18.1664	0.04	8
222.8665	17.0621	0.04	8
121.8448	16.8675	0.04	8
154.3934	15.0547	0.04	8
206.3090	14.9900	0.04	8
124.5870	14.7316	0.04	8
146.8856	14.2150	0.04	8
210.8404	13.4410	0.04	8
181.2509	12.7968	0.04	8
148.8990	12.4749	0.04	8
148.9823	12.2818	0.04	8
180.6966	12.2818	0.04	8
170.4735	12.1531	0.04	8
188.4168	11.3173	0.04	8
167.8075	11.1246	0.04	8
167.5385	10.8676	0.04	8
147.6579	10.4824	0.04	8
225.7684	10.4182	0.04	8
174.0223	10.0974	0.04	8
189.8938	9.2637	0.04	8
123.9194	8.3667	0.04	8
121.3488	7.9826	0.04	8
125.2514	7.1507	0.04	8
234.5953	6.7669	0.04	8
135.4790	6.6390	0.04	8
200.3847	6.5112	0.04	8
169.0735	5.7441	0.04	8
231.7141	5.4886	0.04	8
190.4552	5.3608	0.04	8
155.9676	5.2330	0.04	8
194.1397	5.1053	0.04	8
167.6632	3.4453	0.04	8
196.0964	3.2538	0.04	8
178.0965	3.1900	0.04	8
150.0079	3.1262	0.04	8
159.0161	2.2967	0.04	8
210.3296	2.1691	0.04	8
220.1403	2.0415	0.04	8
134.3546	1.8502	0.04	8
205.8259	1.4674	0.04	8
149.8274	1.1485	0.04	8
158.0689	56.1774	0.045	9
138.8312	56.0993	0.045	9
129.3729	54.7031	0.045	9
173.5969	53.9350	0.045	9
237.1765	53.6292	0.045	9
154.7705	53.2481	0.045	9
218.4329	53.0960	0.045	9
220.4846	52.6409	0.045	9
147.9731	52.2630	0.045	9
186.6039	51.3608	0.045	9
233.4183	51.2111	0.045	9
205.8046	50.8375	0.045	9
193.3492	50.0937	0.045	9
199.1985	48.5453	0.045	9
127.3491	45.9305	0.045	9
191.1633	45.9305	0.045	9
159.6741	45.2124	0.045	9
187.4638	45.2124	0.045	9
173.1712	44.3551	0.045	9
198.4981	44.1416	0.045	9
226.0167	42.5133	0.045	9
170.8221	41.9507	0.045	9
143.6308	41.7403	0.045	9
167.9502	41.5300	0.045	9
183.8329	40.4826	0.045	9
140.4605	40.2739	0.045	9
147.2200	39.3029	0.045	9
201.4444	39.3029	0.045	9
201.8522	38.9573	0.045	9
154.0747	38.4057	0.045	9
138.4786	37.6499	0.045	9
156.1476	36.6920	0.045	9
228.4245	36.2148	0.045	9
217.6435	36.0106	0.045	9
235.2232	35.5349	0.045	9
237.8672	33.5080	0.045	9
222.9490	32.9034	0.045	9
190.2513	32.2335	0.045	9
166.8944	32.1666	0.045	9
209.9041	32.0329	0.045	9
150.0199	31.9661	0.045	9
200.1194	31.5655	0.045	9
191.1643	31.4321	0.045	9
197.0333	30.6332	0.045	9
182.7940	29.8369	0.045	9
170.5800	29.4396	0.045	9
222.0051	29.2412	0.045	9
155.2997	28.8448	0.045	9
136.9025	28.5808	0.045	9
231.6224	28.5149	0.045	9
203.8602	28.1853	0.045	9
180.6482	27.7904	0.045	9
138.1508	27.6589	0.045	9
193.2025	27.1991	0.045	9
223.7589	27.1991	0.045	9
156.8648	27.0023	0.045	9
168.8356	26.8711	0.045	9
231.7383	26.6745	0.045	9
146.5070	26.1507	0.045	9
180.2084	25.3016	0.045	9
203.3204	25.1059	0.045	9
143.8292	25.0408	0.045	9
170.8145	24.9104	0.045	9
237.7790	23.6099	0.045	9
152.4055	23.1559	0.045	9
225.9247	23.1559	0.045	9
180.5614	23.0263	0.045	9
161.5530	21.7328	0.045	9
161.0486	20.0578	0.045	9
173.8949	19.8007	0.045	9
177.4022	19.5438	0.045	9
182.6514	19.2870	0.045	9
176.3632	18.7098	0.045	9
137.1522	18.5817	0.045	9
217.7057	18.3255	0.045	9
185.8987	17.3660	0.045	9
207.0775	17.2382	0.045	9
143.5489	17.1105	0.045	9
135.3351	16.7912	0.045	9
121.7916	16.5360	0.045	9
224.0510	16.4722	0.045	9
224.2320	16.2809	0.045	9
237.5937	16.2809	0.045	9
144.6230	16.2171	0.045	9
236.6262	15.8985	0.045	9
209.9921	15.7710	0.045	9
227.3988	15.1981	0.045	9
154.1311	15.0072	0.045	9
166.5761	14.1809	0.045	9
125.6554	14.0539	0.045	9
205.0732	13.6729	0.045	9
146.2145	13.3557	0.045	9
204.6170	12.9752	0.045	9
166.5538	12.8484	0.045	9
144.9995	11.4554	0.045	9
145.3787	10.9496	0.045	9
191.9896	10.1282	0.045	9
128.0357	9.6232	0.045	9
127.7870	9.3707	0.045	9
137.8748	9.1815	0.045	9
194.6889	9.1184	0.045	9
227.1895	8.8661	0.045	9
227.3786	8.6770	0.045	9
160.9634	8.4878	0.045	9
208.9371	8.2987	0.045	9
238.9002	8.2987	0.045	9
156.8314	8.1097	0.045	9
200.1646	8.0467	0.045	9
122.0141	7.7947	0.045	9
158.0065	7.4798	0.045	9
155.2533	6.5984	0.045	9
167.4538	6.5984	0.045	9
198.0161	6.2838	0.045	9
232.1569	6.1580	0.045	9
231.7284	5.7806	0.045	9
232.7988	4.1461	0.045	9
213.4507	3.7064	0.045	9
196.4164	3.5807	0.045	9
190.2612	2.7642	0.045	9
189.9228	2.6386	0.045	9
143.4511	2.5758	0.045	9
179.3179	2.4502	0.045	9
143.7265	2.2619	0.045	9
170.6733	2.2619	0.045	9
181.4114	1.9479	0.045	9
213.0128	1.8224	0.045	9
223.9518	1.8224	0.045	9
154.8000	57.9102	0.05	10
211.7606	57.2816	0.05	10
205.3263	57.0468	0.05	10
200.5124	56.7347	0.05	10
185.1449	56.3458	0.05	10
235.5784	54.8045	0.05	10
179.1335	54.7280	0.05	10
206.9202	52.4568	0.05	10
193.9578	52.3819	0.05	10
